row_id,itemid,label,abbreviation,linksto
40,224442,gi #3 intub site,gi #3 intub site,chartevents
41,228308,gi #1 tube place method,gi #1 tube place method,chartevents
42,227589,gi #2 tube place method,gi #2 tube place method,chartevents
43,229354,foley cath insertion location,indwelling urinary cath insertion location,chartevents
44,224876,urine appearance,urine appearance,chartevents
45,228307,gi #1 tube place check,gi #1 tube place check,chartevents
46,224005,flatus,flatus,chartevents
47,224446,gi #3 tube drainage,gi #3 tube drainage,chartevents
48,227588,gi #1 tube place method,gi #1 tube place method,chartevents
49,224003,abdominal assessment,abdominal assessment,chartevents
50,224441,gi #2 intub site,gi #2 intub site,chartevents
51,224016,urine color,urine color,chartevents
52,224879,nares l,nares l,chartevents
53,227968,all medications tolerated without adverse side effects,all medications tolerated,chartevents
54,224006,emesis appearance,emesis appearance,chartevents
55,230033,stool management,stool management,chartevents
56,224004,bowel sounds,bowel sounds,chartevents
57,224788,gi #2 tube type,gi #2 tube type,chartevents
58,224012,stool management,stool management,chartevents
59,224013,stool guaiac,stool guaiac,chartevents
60,224789,gi #2 tube status,gi #2 tube status,chartevents
61,228312,gi #3 tube place method,gi #3 tube place method,chartevents
62,224001,diet type,diet type,chartevents
63,224443,gi #2 tube place check,gi #2 tube place check,chartevents
64,224818,gi #3 tube place method,gi #3 tube place method,chartevents
65,228714,bladder scanned,bladder scanned,chartevents
66,224797,ostomy appearance,ostomy appearance,chartevents
67,224010,gi #1 tube place check,gi #1 tube place check,chartevents
68,224009,gi #1 tube drainage,gi #1 tube drainage,chartevents
69,224785,gi #1 tube type,gi #1 tube type,chartevents
70,228309,gi #2 tube place check,gi #2 tube place check,chartevents
71,224011,stool consistency,stool consistency,chartevents
72,224015,urine source,urine source,chartevents
73,224445,gi #2 tube drainage,gi #2 tube drainage,chartevents
74,224017,gu catheter size,gu catheter size,chartevents
75,224007,gi #1 intub site,gi #1 intub site,chartevents
76,224791,gi #3 tube type,gi #3 tube type,chartevents
77,228311,gi #3 tube place check,gi #3 tube place check,chartevents
78,228310,gi #2 tube place method,gi #2 tube place method,chartevents
79,224786,gi #1 tube status,gi #1 tube status,chartevents
80,224794,stool color,stool color,chartevents
81,228372,leg raise result (nicom),leg raise result (nicom),chartevents
82,228373,passive leg raise performed,passive leg raise performed,chartevents
83,229497,final position confirmed (sbnet),final position confirmed (sbnet),chartevents
84,229482,hand cleansing prior to procedure  (sbnet),hand cleansing prior to procedure  (sbnet),chartevents
85,229483,barrier precautions in place  (sbnet),barrier precautions in place  (sbnet),chartevents
86,229479,timeout performed by  (sbnet),timeout performed by  (sbnet),chartevents
87,229481,verification of  (sbnet),verification of  (sbnet),chartevents
88,229499,order to use in poe (sbnet),order to use in poe (sbnet),chartevents
89,229480,patient identified correctly  (sbnet),patient identified correctly  (sbnet),chartevents
90,229486,topical lidocaine used (sbnet),topical lidocaine used (sbnet),chartevents
91,229477,indications (sbnet),indications  (sbnet),chartevents
92,229489,complications (sbnet),complications (sbnet),chartevents
93,229484,route  (sbnet),route  (sbnet),chartevents
94,229498,guidewire removed (sbnet),guidewire removed (sbnet),chartevents
95,229487,2 stage cxr insertion technique (sbnet),2 stage cxr insertion technique (sbnet),chartevents
96,227539,art blood pressure alarm source,art bp alarm source,chartevents
97,227241,pap alarm source,pap alarm source,chartevents
98,229629,pap alarm source (veletri),pap alarm source (veletri),chartevents
99,227239,abp alarm source,abp alarm source,chartevents
100,227240,nbp alarm source,nbp alarm source,chartevents
101,227648,clots,clots,chartevents
102,227650,fundus location (breadth),fundus location (breadth),chartevents
103,227642,breast feeding,breast feeding,chartevents
104,227654,reflexes le,reflexes le,chartevents
105,227653,pad change/hour,pad change/hour,chartevents
106,227652,lochia estimate,lochia estimate,chartevents
107,227655,reflexes ue,reflexes ue,chartevents
108,227644,breast feeding - r,breast feeding - r,chartevents
109,227651,lochia character,lochia character,chartevents
110,227649,fundus character,fundus character,chartevents
111,227643,breast feeding - l,breast feeding - l,chartevents
112,226586,stool estimate,stool estimate,outputevents
113,226713,incontinent/voids (estimate),incontinent/voids (estimate),outputevents
114,227487,gu irrigant type,gu irrigant type,outputevents
115,223759,precautions: standard +,precautions: standard +,chartevents
116,227089,discharge to,discharge to,chartevents
117,223760,health care proxy,health care proxy,chartevents
118,227088,admit from,admit from,chartevents
119,224640,service,service,chartevents
120,227485,print job,print job,chartevents
121,227486,printer,printer,chartevents
122,223758,code status,code status,chartevents
123,220001,problem list,problem list,chartevents
124,228153,dual signal screen,dual signal screen,chartevents
125,228156,performance level,performance level,chartevents
126,229670,dual signal screen (r),dual signal screen (r),chartevents
127,229676,placement monitoring screen (r),placement monitoring screen (r),chartevents
128,228157,placement monitoring screen,placement monitoring screen,chartevents
129,229675,performance level (r),performance level (r),chartevents
130,229679,type of catheter (impella),type of catheter (impella),chartevents
131,225976,replacement fluid,replacement fluid,chartevents
132,225958,heparin concentration (units/ml),heparin concentration  (units/ml),chartevents
133,227290,crrt mode,crrt mode,chartevents
134,224139,dialysis site appearance,dialysis site appearance,chartevents
135,225977,dialysate fluid,dialysate fluid,chartevents
136,230083,replacement fluid (pre-filter),replacement fluid (pre-filter),chartevents
137,225956,reason for crrt filter change,reason for filter change,chartevents
138,227638,medication added #2 (peritoneal dialysis),medication added #2 (pd),chartevents
139,225953,solution (peritoneal dialysis),solution (pd),chartevents
140,225954,dialysis access type,dialysis access type,chartevents
141,225952,medication added #1 (peritoneal dialysis),medication added #1 (pd),chartevents
142,225961,medication added units #1 (peritoneal dialysis),medication added units #1 (pd),chartevents
143,225965,peritoneal dialysis catheter status,pd catheter status,chartevents
144,227640,medication added units #2 (peritoneal dialysis),medication added units #2 (pd),chartevents
145,230084,replacement fluid (post-filter),replacement fluid (post-filter),chartevents
146,224146,system integrity,system integrity,chartevents
147,225951,peritoneal dialysis fluid appearance,pd fluid appearance,chartevents
148,225963,peritoneal dialysis catheter type,pd catheter type,chartevents
149,230085,dialysate fluid,dialysate fluid,chartevents
150,224135,dialysis access site,dialysis access site,chartevents
151,227835,ue dressing,ue dressing,chartevents
152,227839,home management,home management,chartevents
153,227831,grooming,grooming,chartevents
154,227846,supine / side-lying to sit,supine / side-lying to sit,chartevents
155,227929,position - recovery - aerobic activity response,position - recovery - aerobic activity response,chartevents
156,227847,sit to stand,sit to stand,chartevents
157,227837,toileting,toileting,chartevents
158,227832,ue bathing,ue bathing,chartevents
159,227840,money management,money management,chartevents
160,227943,anticipated discharge,anticipated discharge,chartevents
161,227855,assistive device,assistive device,chartevents
162,227853,other (activity); specify,other (activity); specify,chartevents
163,227834,le bathing,le bathing,chartevents
164,227845,rolling,rolling,chartevents
165,227922,position - activity - aerobic activity response,position - activity - aerobic activity response,chartevents
166,227915,position - rest - aerobic activity response,position - rest - aerobic activity response,chartevents
167,227848,transfer,transfer,chartevents
168,227841,community integration,community integration,chartevents
169,227836,le dressing,le dressing,chartevents
170,227830,self feeding,self feeding,chartevents
171,227849,toilet,toilet,chartevents
172,227850,commode,commode,chartevents
173,227881,pain (0-10),pain (0-10),chartevents
174,227851,shower / tub,shower / tub,chartevents
175,227854,weight bearing status,weight bearing status,chartevents
176,229251,cannula sites visually inspected (rvad),cannula sites visually inspected (rvad),chartevents
177,229260,flow sensor repositioned (lvad),flow sensor repositioned (lvad),chartevents
178,229250,cannula sites visually inspected (lvad),cannula sites visually inspected (lvad),chartevents
179,229264,suction events (lvad),suction events (lvad),chartevents
180,229252,emergency equipment at bedside (lvad),emergency equipment at bedside (lvad),chartevents
181,229261,flow sensor repositioned (rvad),flow sensor repositioned (rvad),chartevents
182,229253,emergency equipment at bedside (rvad),emergency equipment at bedside (rvad),chartevents
183,229265,suction events (rvad),suction events (rvad),chartevents
184,229309,backup controller (heartware),backup controller (heartware),chartevents
185,229323,current dyspnea assessment,current dyspnea assessment,chartevents
186,223995,ct #1 fluctuate,ct #1 fluctuate,chartevents
187,223991,cough effort,cough effort,chartevents
188,224806,ct #1 suction type,ct #1 suction type,chartevents
189,223988,lul lung sounds,lul lung sounds,chartevents
190,224424,ct #2 drainage,ct #2 drainage,chartevents
191,224434,ct #3 fluctuate,ct #3 fluctuate,chartevents
192,224779,ct #3 leak,ct #3 leak,chartevents
193,223992,cough type,cough type,chartevents
194,224427,ct #2 suction amount,ct #2 suction amount,chartevents
195,223986,rul lung sounds,rul lung sounds,chartevents
196,224439,chest tube site #3,chest tube site #3,chartevents
197,224433,ct #4 dressing,ct #4 dressing,chartevents
198,224440,chest tube site #4,chest tube site #4,chartevents
199,223994,ct #1 suction amount,ct #1 suction amount,chartevents
200,224438,chest tube site # 2,chest tube site # 2,chartevents
201,224423,ct #2 crepitus,ct #2 crepitus,chartevents
202,224808,ct #2 suction type,ct #2 suction type,chartevents
203,223987,rll lung sounds,rll lung sounds,chartevents
204,224775,ct #1 leak,ct #1 leak,chartevents
205,223989,lll lung sounds,lll lung sounds,chartevents
206,224435,ct #4 fluctuate,ct #4 fluctuate,chartevents
207,229322,breathing pattern/effort,breathing pattern/effort,chartevents
208,223985,respiratory pattern,respiratory pattern,chartevents
209,224428,ct #3 crepitus,ct #3 crepitus,chartevents
210,224432,ct #3 dressing,ct #3 dressing,chartevents
211,224781,ct #4 leak,ct #4 leak,chartevents
212,223998,ct #1 crepitus,ct #1 crepitus,chartevents
213,224436,ct #3 suction amount,ct #3 suction amount,chartevents
214,223993,chest tube site # 1,chest tube site # 1,chartevents
215,224425,ct #2 dressing,ct #2 dressing,chartevents
216,224426,ct #2 fluctuate,ct #2 fluctuate,chartevents
217,224810,ct #3 suction type,ct #3 suction type,chartevents
218,224431,ct #4 drainage,ct #4 drainage,chartevents
219,223996,ct #1 drainage,ct #1 drainage,chartevents
220,224437,ct #4 suction amount,ct #4 suction amount,chartevents
221,224777,ct #2 leak,ct #2 leak,chartevents
222,224812,ct #4 suction type,ct #4 suction type,chartevents
223,223990,respiratory effort,respiratory effort,chartevents
224,224429,ct #4 crepitus,ct #4 crepitus,chartevents
225,223997,ct #1 dressing,ct #1 dressing,chartevents
226,224430,ct #3 drainage,ct #3 drainage,chartevents
227,229111,safety restraints ncp - problem resolved,safety restraints ncp - problem resolved,chartevents
228,229123,elimination ncp - plan revised,elimination ncp - plan revised,chartevents
229,229369,acuity workload question 1,acuity workload question 1,chartevents
230,228997,discharge ncp - interventions,discharge ncp - interventions,chartevents
231,229147,metabolic disturbance ncp - plan revised,metabolic disturbance ncp - plan revised,chartevents
232,229349,impaired mobility ncp - problem resolved,im ncp - problem resolved,chartevents
233,229330,activity intolerance  ncp - interventions,ai ncp - interventions,chartevents
234,228966,nutrition  ncp - interventions,nutrition ncp - interventions,chartevents
235,229102,infection ncp - plan revised,infection ncp - plan revised,chartevents
236,229129,altered sensory perception ncp - problem resolved,asp ncp - problem resolved,chartevents
237,228912,altered skin integrity ncp - goal,asi ncp - goal,chartevents
238,228968,nutrition  ncp - outcomes met,nutrition ncp - outcomes met,chartevents
239,229126,altered sensory perception ncp - interventions,asp ncp - interventions,chartevents
240,228977,altered mental status  ncp - interventions,ams ncp - interventions,chartevents
241,229089,altered mental status  ncp - problem resolved,ams ncp - problem resolved,chartevents
242,229091,altered respiratory status ncp - problem resolved,ars ncp - problem resolved,chartevents
243,229339,domestic violence ncp - interventions,dv ncp - interventions,chartevents
244,229641,stroke ncp - consults,stroke ncp - consults,chartevents
245,229649,stroke ncp - type,stroke ncp - type,chartevents
246,229977,covid ncp - interventions,covid ncp - interventions,chartevents
247,229088,altered mental status  ncp - plan revised,ams ncp - plan revised,chartevents
248,229110,safety restraints ncp - plan revised,safety restraints ncp - plan revised,chartevents
249,229145,metabolic disturbance ncp - interventions,metabolic disturbance ncp - interventions,chartevents
250,229335,activity intolerance ncp - goal,ai ncp - goal,chartevents
251,229104,nutrition  ncp - plan revised,nutrition ncp - plan revised,chartevents
252,229652,stroke ncp - interventions,stroke ncp - interventions,chartevents
253,229974,covid ncp - problem,covid ncp - problem,chartevents
254,228986,safety restraints ncp - goal,safety restraints ncp - goal,chartevents
255,229108,post-op care ncp - plan revised,post-op care ncp - plan revised,chartevents
256,229120,sensory disturbance ncp - expected outcomes,sensory disturbance ncp - expected outcomes,chartevents
257,229136,substance withdrawal ncp - expected outcomes,substance withdrawal ncp - expected outcomes,chartevents
258,229344,impaired mobility ncp - expected outcomes,im ncp - expected outcomes,chartevents
259,228935,post-op care ncp - goal,post-op care ncp - goal,chartevents
260,228973,altered mental status  ncp - expected outcomes,ams ncp - expected outcomes,chartevents
261,229124,altered sensory perception ncp - expected outcomes,asp ncp - expected outcomes,chartevents
262,229342,domestic violence ncp - problem resolved,dv ncp - problem resolved,chartevents
263,229648,stroke ncp - problem resolved,stroke ncp - problem resolved,chartevents
264,229327,activity intolerance  ncp - expected outcomes,ai ncp - expected outcomes,chartevents
265,228945,infection ncp - goal,infection ncp - goal,chartevents
266,228999,discharge ncp - outcomes met,discharge ncp - outcomes met,chartevents
267,229143,metabolic disturbance ncp - expected outcomes,metabolic disturbance ncp - expected outcomes,chartevents
268,229148,metabolic disturbance ncp - problem resolved,metabolic disturbance ncp - problem resolved,chartevents
269,228903,altered respiratory status ncp - goal,ars ncp - goal,chartevents
270,228905,altered respiratory status ncp - interventions,ars ncp - interventions,chartevents
271,229001,self harm ncp - expected outcomes,self harm ncp - expected outcomes,chartevents
272,229112,self harm ncp - plan revised,self harm ncp - plan revised,chartevents
273,229152,palliative care ncp - interventions,palliative care ncp - interventions,chartevents
274,229333,activity intolerance ncp - plan revised,ai ncp - plan revised,chartevents
275,229343,domestic violence ncp - plan revised,dv ncp - plan revised,chartevents
276,228943,infection ncp - expected outcomes,infection ncp - expected outcomes,chartevents
277,228975,altered mental status  ncp - goal,ams ncp - goal,chartevents
278,229118,sensory disturbance ncp - interventions,sensory disturbance ncp - interventions,chartevents
279,229347,impaired mobility  ncp - interventions,im ncp - interventions,chartevents
280,229646,stroke ncp - plan revised,stroke ncp - plan revised,chartevents
281,228898,impaired fluid balance ncp - interventions,ifb ncp - interventions,chartevents
282,228955,coping/knowledge deficit  ncp - goal,ckd ncp - goal,chartevents
283,228988,safety restraints ncp - interventions,safety restraints ncp - interventions,chartevents
284,228964,nutrition  ncp - goal,nutrition ncp - goal,chartevents
285,229097,discharge ncp - problem resolved,discharge ncp - problem resolved,chartevents
286,229128,altered sensory perception ncp - plan revised,asp ncp - plan revised,chartevents
287,229138,substance withdrawal ncp - interventions,substance withdrawal ncp - interventions,chartevents
288,228971,nutrition ncp - body needs,nutrition ncp - body needs,chartevents
289,229005,self harm ncp - outcomes met,self harm ncp - outcomes met,chartevents
290,229141,substance withdrawal ncp - problem resolved,substance withdrawal ncp - problem resolved,chartevents
291,228993,discharge ncp - expected outcomes,discharge ncp - expected outcomes,chartevents
292,229134,elimination ncp - interventions,elimination ncp - interventions,chartevents
293,229980,covid ncp - problem resolved,covid ncp - problem resolved,chartevents
294,228928,impaired tissue perfusion ncp - interventions,itp ncp - interventions,chartevents
295,228933,post-op care ncp - expected outcomes,post-op care ncp - expected outcomes,chartevents
296,229113,self harm ncp - problem resolved,self harm ncp - problem resolved,chartevents
297,228890,pain ncp - interventions,pain ncp - interventions,chartevents
298,228907,altered respiratory status ncp - outcomes met,ars ncp - outcomes met,chartevents
299,228888,pain ncp - expected outcomes,pain ncp - expected outcomes,chartevents
300,229095,coping/knowledge deficit  ncp - problem resolved,ckd ncp - problem resolved,chartevents
301,229332,activity intolerance  ncp - outcomes met,ai ncp - outcomes met,chartevents
302,229647,stroke ncp - problem,stroke ncp - problem,chartevents
303,228895,impaired fluid balance ncp - goal,ifb ncp - goal,chartevents
304,228947,infection ncp - interventions,infection ncp - interventions,chartevents
305,229115,sensory disturbance ncp - problem resolved,sensory disturbance ncp - problem resolved,chartevents
306,228939,post-op care ncp - outcomes met,post-op care ncp - outcomes met,chartevents
307,229093,altered skin integrity ncp - problem resolved,asi ncp - problem resolved,chartevents
308,229370,acuity workload question 2,acuity workload question 2,chartevents
309,229644,stroke ncp - expected outcomes,stroke ncp - expected outcomes,chartevents
310,228911,altered skin integrity ncp - expected outcomes,asi ncp - expected outcomes,chartevents
311,228924,impaired tissue perfusion ncp - expected outcomes,itp ncp - expected outcomes,chartevents
312,228953,coping/knowledge deficit  ncp - expected outcomes,ckd ncp - expected outcomes,chartevents
313,228959,coping/knowledge deficit  ncp - outcomes met,ckd ncp - outcomes met,chartevents
314,228983,safety restraints ncp - expected outcomes,safety restraints ncp - expected outcomes,chartevents
315,229096,discharge ncp - plan revised,discharge ncp - plan revised,chartevents
316,229092,altered skin integrity ncp - plan revised,asi ncp - plan revised,chartevents
317,229337,domestic violence ncp - expected outcomes,dv ncp - expected outcomes,chartevents
318,228962,nutrition  ncp - expected outcomes,nutrition ncp - expected outcomes,chartevents
319,229150,palliative care ncp - expected outcomes,palliative care ncp - expected outcomes,chartevents
320,228990,safety restraints ncp - outcomes met,safety restraints ncp - outcomes met,chartevents
321,228995,discharge ncp - goal,discharge ncp - goal,chartevents
322,229103,infection ncp - problem resolved,infection ncp - problem resolved,chartevents
323,228889,pain ncp - outcomes met,pain ncp - outcomes met,chartevents
324,229099,impaired fluid balance ncp - problem resolved,ifb ncp - problem resolved,chartevents
325,229341,domestic violence ncp - outcomes met,dv ncp - outcomes met,chartevents
326,229979,covid ncp - plan revised,covid ncp - plan revised,chartevents
327,228914,altered skin integrity ncp - interventions,asi ncp - interventions,chartevents
328,229140,substance withdrawal ncp - plan revised,substance withdrawal ncp - plan revised,chartevents
329,228930,impaired tissue perfusion ncp - outcomes met,itp ncp - outcomes met,chartevents
330,229098,impaired fluid balance ncp - plan revised,ifb ncp - plan revised,chartevents
331,229101,impaired tissue perfusion ncp - problem resolved,itp ncp - problem resolved,chartevents
332,229154,palliative care ncp - plan revised,palliative care ncp - plan revised,chartevents
333,228897,impaired fluid balance ncp - outcomes met,ifb ncp - outcomes met,chartevents
334,228902,altered respiratory status ncp - expected outcomes,ars ncp - expected outcomes,chartevents
335,229155,palliative care ncp - problem resolved,palliative care ncp - problem resolved,chartevents
336,228886,pain ncp - goal,pain ncp - goal,chartevents
337,229105,nutrition  ncp - problem resolved,nutrition ncp - problem resolved,chartevents
338,229656,stroke ncp - water swallow deferred,stroke ncp - water swallow deferred,chartevents
339,229122,elimination ncp - problem resolved,elimination ncp - problem resolved,chartevents
340,229334,activity intolerance  ncp - problem resolved,ai ncp - problem resolved,chartevents
341,229650,stroke ncp - water swallow,stroke ncp - water swallow,chartevents
342,228894,impaired fluid balance ncp - expected outcomes,ifb ncp - expected outcomes,chartevents
343,228937,post-op care ncp - interventions,post-op care ncp - interventions,chartevents
344,229116,sensory disturbance ncp - plan revised,sensory disturbance ncp - plan revised,chartevents
345,228916,altered skin integrity ncp - outcomes met,asi ncp - outcomes met,chartevents
346,229109,post-op care ncp - problem resolved,post-op care ncp - problem resolved,chartevents
347,229003,self harm ncp - interventions,self harm ncp - interventions,chartevents
348,229100,impaired tissue perfusion ncp - plan revised,itp ncp - plan revised,chartevents
349,229106,pain ncp - plan revised,pain ncp - plan revised,chartevents
350,229107,pain ncp - problem resolved,pain ncp - problem resolved,chartevents
351,229133,elimination ncp - expected outcomes,elimination ncp - expected outcomes,chartevents
352,229975,covid ncp - expected outcomes,covid ncp - expected outcomes,chartevents
353,228926,impaired tissue perfusion ncp - goal,itp ncp - goal,chartevents
354,228957,coping/knowledge deficit  ncp - interventions,ckd ncp - interventions,chartevents
355,229090,altered respiratory status ncp - plan revised,ars ncp - plan revised,chartevents
356,229350,impaired mobility ncp - plan revised,im ncp - plan revised,chartevents
357,228949,infection ncp - outcomes met,infection ncp - outcomes met,chartevents
358,228979,altered mental status  ncp - outcomes met,ams ncp - outcomes met,chartevents
359,229094,coping/knowledge deficit  ncp - plan revised,ckd ncp - plan revised,chartevents
360,229786,preoxygenation (intubation),preoxygenation (intubation),chartevents
361,229787,rigid stylette (intubation),rigid stylette (intubation),chartevents
362,222871,mallampati classification (intubation),mallampati classification (intubation),chartevents
363,226191,barrier precautions in place (intubation),barrier precautions in place (intubation),chartevents
364,225291,indication (intubation),indication (intubation),chartevents
365,225585,ett depth (intubation),ett depth (intubation),chartevents
366,225593,best larynx view obtained (intubation),best larynx view obtained (intubation),chartevents
367,228065,hand cleansing prior to procedure (intubation),hand cleansing prior to procedure (intubation),chartevents
368,225306,number of attempts (intubation),number of attempts (intubation),chartevents
369,226430,complications (intubation),complications (intubation),chartevents
370,226431,verification of (intubation),verification of (intubation),chartevents
371,228066,unable to complete airway assessment (intubation),unable to complete  assessment (intubation),chartevents
372,225296,mandibular prognatism (intubation),mandibular prognatism (intubation),chartevents
373,230073,documented in dc summary (intub),documented in dc summary (intub),chartevents
374,229784,code status (intubation),code status (intubation),chartevents
375,225297,teeth/dentition (intubation),teeth/dentition (intubation),chartevents
376,228069,tube secured (intubation),tube secured (intubation),chartevents
377,225271,induction/drugs/doses (intubation),induction/drugs/doses (intubation),chartevents
378,225294,mouth opening (intubation),mouth opening (intubation),chartevents
379,226188,timeout performed by (intubation),timeout performed by (intubation),chartevents
380,225298,neck rom (intubation),neck rom (intubation),chartevents
381,225303,mask ventilation (intubation),mask ventilation (intubation),chartevents
382,226432,drugs (intubation),drugs (intubation),chartevents
383,225592,ett size (intubation),ett size (intubation),chartevents
384,228643,barrier precautions in place (intubation),barrier precautions in place (intubation),chartevents
385,225295,thyromental distance (intubation),thyromental distance (intubation),chartevents
386,228067,stylette (intubation),stylette (intubation),chartevents
387,228068,bougie (intubation),bougie (intubation),chartevents
388,225590,tracheal confirmation (intubation),tracheal confirmation (intubation),chartevents
389,225304,blade / equipment (intubation),blade / equipment (intubation),chartevents
390,226189,patient identified correctly by 2 means (intubation),patient identified correctly by 2 means (intubatio,chartevents
391,226429,ett type (intubation),ett type (intubation),chartevents
392,223819,visual disturbances,visual disturbances,chartevents
393,224677,tremor (cina),tremor (cina),chartevents
394,224673,abdominal changes: observation,abdominal changes: observation,chartevents
395,223814,auditory disturbance,auditory disturbance,chartevents
396,223805,nausea and vomiting (ciwa),nausea and vomiting,chartevents
397,229769,pupil size (cows),pupil size,chartevents
398,223810,paroxysmal sweats,paroxysmal sweats,chartevents
399,229774,tremor (cows),tremor.,chartevents
400,224668,sweating,sweating,chartevents
401,229773,sweating (cows),sweating,chartevents
402,229765,anxiety/irritability (cows),anxiety/irritability,chartevents
403,223817,agitation,agitation,chartevents
404,223827,ataxia,ataxia,chartevents
405,229766,bone/joint aches (cows),bone/joint aches,chartevents
406,224667,goose flesh,goose flesh,chartevents
407,224670,lacrimation,lacrimation,chartevents
408,223818,tactile disturbances,tactile disturbances,chartevents
409,229772,runny nose/tearing (cows),runny nose/tearing,chartevents
410,223821,orient/clouding sensory,orient/clouding sensory,chartevents
411,224672,yawning,yawning,chartevents
412,229768,gooseflesh skin (cows),gooseflesh skin,chartevents
413,229771,restlessness (cows),restlessness,chartevents
414,223806,tremor (ciwa),tremor,chartevents
415,224674,changes in temperature,changes in temperature,chartevents
416,224676,nausea and vomiting (cina),nausea and vomiting (cina),chartevents
417,224669,restlessness,restlessness,chartevents
418,224671,pupils,pupils,chartevents
419,229775,yawning (cows),yawning,chartevents
420,223829,drowsiness,drowsiness,chartevents
421,223828,slurred speech,slurred speech,chartevents
422,223823,insomnia,insomnia,chartevents
423,224675,muscle aches,muscle aches,chartevents
424,223820,headache,headache,chartevents
425,229770,resting pulse rate (cows),resting pulse rate,chartevents
426,223811,anxiety,anxiety,chartevents
427,224666,nasal congestion,nasal congestion,chartevents
428,229767,gi upset (cows),gi upset,chartevents
429,223825,sustained nystagmus,sustained nystagmus,chartevents
430,223824,seizure,seizure,chartevents
431,224454,traction/immobile location #4,traction/immobile location #4,chartevents
432,227629,shivering,shivering,chartevents
433,224105,warming device,warming device,chartevents
434,229604,therapeutic bed,therapeutic bed,chartevents
435,224088,pressure reducing device,pressure reducing device,chartevents
436,225054,anti embolic device status,anti embolic device status,chartevents
437,229638,discharge recommendations (am-pac),discharge recommendations (am-pac),chartevents
438,229742,activity / mobility (rn daily mobility goal),rn daily mobility goal,chartevents
439,225194,pt splint status #3,pt splint status #3,chartevents
440,227771,traction/immobile #1,traction/immobile #1,chartevents
441,225196,pt splint status #4,pt splint status #4,chartevents
442,224456,pt splint location #2,pt splint location #2,chartevents
443,228344,"ocat - saliva secretions, voice quality",ocat - ssvq,chartevents
444,229636,test performed (am-pac),test performed (am-pac),chartevents
445,224114,pt splint location #1,pt splint location #1,chartevents
446,224090,knee immobilizer status,knee immobilizer status,chartevents
447,224457,pt splint location #3,pt splint location #3,chartevents
448,224093,position,position,chartevents
449,225176,range of motion status,rom status,chartevents
450,225180,pt splint status #1,pt splint status #1,chartevents
451,229319,activity / mobility (jh-hlm),activity / mobility (jh-hlm),chartevents
452,224451,traction/immobile #4,traction/immobile #4,chartevents
453,225050,warming device status,warming device status,chartevents
454,227772,traction/immobile #2,traction/immobile #2,chartevents
455,229634,daily activity (am-pac),daily activity (am-pac),chartevents
456,224092,range of motion location,rom location,chartevents
457,224453,traction/immobile location #3,traction/immobile location #3,chartevents
458,228346,ocat - teeth,ocat - teeth,chartevents
459,224080,head of bed,hob,chartevents
460,225182,pt splint status #2,pt splint status #2,chartevents
461,228867,assist device,assist device,chartevents
462,229633,basic mobility (am-pac),basic mobility (am-pac),chartevents
463,224113,traction/immobile location #1,traction/immobile location #1,chartevents
